ENA|AACZ04000001|AACZ04000001.1,746,1708,78,39,86.714,855,986,1708
ENA|AACZ04000002|AACZ04000002.1,11734,13707,7,0,99.645,1967,1974,17023
ENA|AACZ04000003|AACZ04000003.1,15,2952,152,229,84.833,2612,3079,7653
ENA|AACZ04000004|AACZ04000004.1,7,2885,124,262,85.578,2605,3044,6343
ENA|AACZ04000005|AACZ04000005.1,521101,678585,68,30,99.907,157374,157521,706230
ENA|AACZ04000006|AACZ04000006.1,3,3324,2,0,99.940,3320,3322,3324
ENA|AACZ04000007|AACZ04000007.1,54101,147617,34,18,99.934,93469,93531,147701
ENA|AACZ04000008|AACZ04000008.1,78355,218903,72,64,99.848,140362,140575,331758
ENA|AACZ04000009|AACZ04000009.1,1,1037,20,5,95.940,1016,1059,1037
ENA|AACZ04000010|AACZ04000010.1,1,1106,0,0,100.000,1106,1106,1106
ENA|AACZ04000011|AACZ04000011.1,182038,271849,38,30,99.901,89751,89840,462467
ENA|AACZ04000012|AACZ04000012.1,1,1175,0,0,100.000,1175,1175,1175
ENA|AACZ04000013|AACZ04000013.1,202255,320717,94,22,99.867,118325,118483,506642
ENA|AACZ04000014|AACZ04000014.1,112385,144294,24,4,99.903,31880,31911,156641
ENA|AACZ04000015|AACZ04000015.1,296353,460477,102,54,99.870,163947,164160,968951
ENA|AACZ04000016|AACZ04000016.1,1,123296,35,16,99.939,123251,123326,263227
ENA|AACZ04000017|AACZ04000017.1,1,1730,16,2,98.902,1711,1730,1730
ENA|AACZ04000018|AACZ04000018.1,1,1684,5,0,99.703,1679,1684,1684
ENA|AACZ04000019|AACZ04000019.1,39354,71071,21,9,99.890,31690,31725,96778
ENA|AACZ04000020|AACZ04000020.1,1,2621,27,12,96.644,2592,2682,5513
ENA|AACZ04000021|AACZ04000021.1,1,50468,86,26,99.758,50372,50494,50496
ENA|AACZ04000022|AACZ04000022.1,1,1334,2,0,99.850,1332,1334,1370
ENA|AACZ04000023|AACZ04000023.1,4227,27062,17,6,99.886,22812,22838,27062
ENA|AACZ04000024|AACZ04000024.1,13801,22779,29,1,99.666,8950,8980,22779
ENA|AACZ04000025|AACZ04000025.1,1,1084,5,1,99.173,1079,1088,1084
ENA|AACZ04000026|AACZ04000026.1,434,65612,13,10,99.960,65162,65188,188200
ENA|AACZ04000027|AACZ04000027.1,1,2520,1,0,99.960,2519,2520,2520
ENA|AACZ04000028|AACZ04000028.1,1,2461,32,0,98.700,2429,2461,2461
ENA|AACZ04000029|AACZ04000029.1,238316,330185,27,61,99.829,91735,91892,349891
ENA|AACZ04000030|AACZ04000030.1,7930,58477,15,6,99.949,50527,50553,58659
ENA|AACZ04000031|AACZ04000031.1,110143,210746,253,820,98.792,99735,100955,217307
ENA|AACZ04000032|AACZ04000032.1,351151,451846,49,53,99.891,100628,100738,718262
ENA|AACZ04000033|AACZ04000033.1,1,9295,89,319,95.171,8948,9402,22685
ENA|AACZ04000034|AACZ04000034.1,875588,949350,64,32,99.855,73680,73787,1078078
ENA|AACZ04000035|AACZ04000035.1,1,2164,9,1,99.445,2152,2164,2164
ENA|AACZ04000036|AACZ04000036.1,1,1256,0,0,100.000,1256,1256,1256
ENA|AACZ04000037|AACZ04000037.1,1,1427,0,0,100.000,1427,1427,1427
ENA|AACZ04000038|AACZ04000038.1,76969,151793,120,15,99.793,74687,74842,161448
ENA|AACZ04000039|AACZ04000039.1,2,1250,0,0,100.000,1249,1249,1250
ENA|AACZ04000040|AACZ04000040.1,89552,156240,50,16,99.853,66604,66702,271125
ENA|AACZ04000041|AACZ04000041.1,1,1134,0,0,100.000,1134,1134,1134
ENA|AACZ04000042|AACZ04000042.1,1,2454,0,0,100.000,2454,2454,2454
ENA|AACZ04000043|AACZ04000043.1,10362,59443,34,14,99.823,49003,49090,60121
ENA|AACZ04000044|AACZ04000044.1,456,1625,13,0,98.889,1157,1170,1805
ENA|AACZ04000045|AACZ04000045.1,1,1171,11,1,98.975,1159,1171,1341
ENA|AACZ04000046|AACZ04000046.1,32764,64937,7,8,99.947,32163,32180,64937
ENA|AACZ04000047|AACZ04000047.1,1,11395,262,768,89.878,10611,11806,11395
ENA|AACZ04000048|AACZ04000048.1,54617,166214,45,19,99.907,111530,111634,445075
ENA|AACZ04000049|AACZ04000049.1,1,29075,241,812,95.887,28328,29543,29075
ENA|AACZ04000050|AACZ04000050.1,1,27038,118,49,99.331,26880,27061,27087
ENA|AACZ04000051|AACZ04000051.1,1,3546,76,8,97.408,3458,3550,3547
ENA|AACZ04000052|AACZ04000052.1,1,2665,0,0,100.000,2665,2665,2667
ENA|AACZ04000053|AACZ04000053.1,1,8001,110,350,92.826,7518,8099,8003
ENA|AACZ04000054|AACZ04000054.1,1,175303,94,35,99.900,175175,175351,301631
ENA|AACZ04000055|AACZ04000055.1,13592,87668,35,12,99.926,74034,74089,150979
ENA|AACZ04000056|AACZ04000056.1,26,3714,57,2,97.945,3622,3698,3714
ENA|AACZ04000057|AACZ04000057.1,2237,5823,6,0,99.833,3581,3587,5823
ENA|AACZ04000058|AACZ04000058.1,3844,9283,2,3,99.908,5436,5441,9283
ENA|AACZ04000059|AACZ04000059.1,106196,139235,37,12,99.725,32961,33052,139430
ENA|AACZ04000060|AACZ04000060.1,1,5284,2,1,99.943,5282,5285,5284
ENA|AACZ04000061|AACZ04000061.1,2,46500,32,11,99.852,46447,46516,111173
ENA|AACZ04000062|AACZ04000062.1,176993,241910,11,9,99.838,64819,64924,271486
ENA|AACZ04000063|AACZ04000063.1,8271,60426,102,46,99.594,51976,52188,60426
ENA|AACZ04000064|AACZ04000064.1,780569,854938,22,9,99.958,74345,74376,918742
ENA|AACZ04000065|AACZ04000065.1,190835,225687,58,17,99.736,34775,34867,575504
ENA|AACZ04000066|AACZ04000066.1,8,9239,398,865,81.693,7760,9499,19818
ENA|AACZ04000067|AACZ04000067.1,9637,21318,4,1,99.957,11678,11683,21883
ENA|AACZ04000068|AACZ04000068.1,527,1500,3,2,99.487,969,974,1500
ENA|AACZ04000069|AACZ04000069.1,1,1015,0,0,100.000,1015,1015,1015
ENA|AACZ04000070|AACZ04000070.1,1,19483,11,2,99.933,19472,19485,19532
ENA|AACZ04000071|AACZ04000071.1,19207,80668,18,32,99.889,61434,61502,241446
ENA|AACZ04000072|AACZ04000072.1,2002,5392,2,2,99.823,3387,3393,5392
ENA|AACZ04000073|AACZ04000073.1,746,38270,19,7,99.912,37495,37528,61704
ENA|AACZ04000074|AACZ04000074.1,2910,12310,211,684,89.240,8617,9656,12621
ENA|AACZ04000075|AACZ04000075.1,448,1204,115,14,78.684,598,760,1773
ENA|AACZ04000076|AACZ04000076.1,201625,251080,14,7,99.953,49436,49459,259381
ENA|AACZ04000077|AACZ04000077.1,21983,88066,40,11,99.906,66032,66094,248158
ENA|AACZ04000078|AACZ04000078.1,65556,137295,15,6,99.960,71715,71744,329455
ENA|AACZ04000079|AACZ04000079.1,1,1828,2,0,99.891,1826,1828,1830
ENA|AACZ04000080|AACZ04000080.1,1,24866,33,6,99.799,24821,24871,46881
ENA|AACZ04000081|AACZ04000081.1,29269,55136,5,3,99.965,25861,25870,70594
ENA|AACZ04000082|AACZ04000082.1,94,1123,5,1,99.418,1025,1031,1123
ENA|AACZ04000083|AACZ04000083.1,1,41377,106,233,98.888,41093,41555,106900
ENA|AACZ04000084|AACZ04000084.1,37387,93035,32,22,99.865,55595,55670,226474
ENA|AACZ04000085|AACZ04000085.1,112100,157096,7,12,99.927,44978,45011,196453
ENA|AACZ04000086|AACZ04000086.1,762615,843296,28,18,99.929,80631,80688,854889
ENA|AACZ04000087|AACZ04000087.1,2905,45077,29,22,99.673,42083,42221,63582
ENA|AACZ04000088|AACZ04000088.1,17520,39676,22,16,99.631,22124,22206,43506
ENA|AACZ04000089|AACZ04000089.1,56610,86323,15,44,99.751,29655,29729,205030
ENA|AACZ04000090|AACZ04000090.1,1,1924,3,0,99.844,1921,1924,1924
ENA|AACZ04000091|AACZ04000091.1,163843,211814,35,13,99.894,47930,47981,562142
ENA|AACZ04000092|AACZ04000092.1,1,5331,17,39,98.304,5274,5365,5331
ENA|AACZ04000093|AACZ04000093.1,1839,5166,15,4,99.012,3308,3341,5166
ENA|AACZ04000094|AACZ04000094.1,8,3889,52,25,97.870,3814,3897,10829
ENA|AACZ04000095|AACZ04000095.1,6378,9492,12,24,98.819,3095,3132,11406
ENA|AACZ04000096|AACZ04000096.1,2231,4857,16,1,99.353,2611,2628,6250
ENA|AACZ04000097|AACZ04000097.1,316,30304,29,6,99.850,29959,30004,30304
ENA|AACZ04000098|AACZ04000098.1,1,1052,4,1,99.242,1048,1056,1052
ENA|AACZ04000099|AACZ04000099.1,42701,80169,20,5,99.920,37440,37470,116942
ENA|AACZ04000100|AACZ04000100.1,112086,164771,19,6,99.939,52660,52692,353231
ENA|AACZ04000101|AACZ04000101.1,1,1216,40,0,96.711,1176,1216,1216
ENA|AACZ04000102|AACZ04000102.1,1,25621,29,84,99.505,25507,25634,28326
ENA|AACZ04000103|AACZ04000103.1,5569,10041,140,360,85.455,3948,4620,12597
ENA|AACZ04000104|AACZ04000104.1,1595,5852,178,16,94.877,4056,4275,7886
